PAIS,GRUPO,PUNTAJE
ALEMANIA,E,1658
ARABIA,C,1436
ARGENTINA,C,1771
AUSTRALIA,D,1484
BELGICA,F,1822
BRASIL,G,1838
CAMERUN,G,1485
CANADA,F,1474
COREA,H,1526
COSTA RICA,E,1500
CROACIA,F,1632
DINAMARCA,D,1665
ECUADOR,A,1464
EE. UU.,B,1635
ESPAÑA,E,1717
FRANCIA,D,1764
GALES,B,1582
GHANA,H,1393
INGLATERRA,B,1737
IRAN,B,1559
JAPON,E,1555
MARRUECOS,F,1558
MEXICO,C,1649
PAISES BAJOS,A,1679
POLONIA,C,1546
PORTUGAL,H,1679
QATAR,A,1442
SENEGAL,A,1585
SERBIA,G,1550
SUIZA,G,1621
TUNEZ,D,1508
URUGUAY,H,1640
